agent_id,step,metric,value
1,0,emotion,0.35065299894360946
1,1,emotion,0.1753089499693672
1,2,emotion,0.0
1,3,emotion,0.0
1,4,emotion,0.0
1,5,emotion,0.0
1,6,emotion,0.0
1,7,emotion,0.0
1,8,emotion,0.0
1,9,emotion,0.0
1,10,emotion,0.0
1,11,emotion,0.0
1,12,emotion,0.0
1,13,emotion,0.0
1,14,emotion,0.0
1,15,emotion,0.0
1,16,emotion,0.0
1,17,emotion,0.0
1,18,emotion,0.0
1,19,emotion,0.0
1,20,emotion,0.0
1,21,emotion,0.0
1,22,emotion,0.0
1,23,emotion,0.0
1,0,stress,0.8389759910480828
1,1,stress,0.8783869260045314
1,2,stress,1.0
1,3,stress,1.0
1,4,stress,1.0
1,5,stress,1.0
1,6,stress,1.0
1,7,stress,1.0
1,8,stress,1.0
1,9,stress,1.0
1,10,stress,1.0
1,11,stress,1.0
1,12,stress,0.9886114247578441
1,13,stress,1.0
1,14,stress,1.0
1,15,stress,1.0
1,16,stress,1.0
1,17,stress,1.0
1,18,stress,1.0
1,19,stress,1.0
1,20,stress,1.0
1,21,stress,1.0
1,22,stress,1.0
1,23,stress,1.0
1,0,econ_security,0.39719279679897324
1,1,econ_security,0.3176879960023464
1,2,econ_security,0.2013917453473506
1,3,econ_security,0.1894156536983613
1,4,econ_security,0.14182385703121853
1,5,econ_security,0.11411027403743482
1,6,econ_security,0.11209509635793832
1,7,econ_security,0.0
1,8,econ_security,0.0
1,9,econ_security,0.0
1,10,econ_security,0.0
1,11,econ_security,0.009775484017665623
1,12,econ_security,0.0
1,13,econ_security,0.00851064339014391
1,14,econ_security,0.0
1,15,econ_security,0.0
1,16,econ_security,0.0
1,17,econ_security,0.0
1,18,econ_security,0.0
1,19,econ_security,0.0
1,20,econ_security,0.0
1,21,econ_security,0.0
1,22,econ_security,0.0
1,23,econ_security,0.0
1,0,city_identity,0.46108340413292154
1,1,city_identity,0.4579928818282447
1,2,city_identity,0.4279879745636803
1,3,city_identity,0.3981462099836564
1,4,city_identity,0.38278989279450837
1,5,city_identity,0.35905731450722383
1,6,city_identity,0.33940678151404313
1,7,city_identity,0.3291908425030888
1,8,city_identity,0.3132905313793986
1,9,city_identity,0.2843787907798192
1,10,city_identity,0.26689782134494444
1,11,city_identity,0.23401064504334457
1,12,city_identity,0.22131050381070078
1,13,city_identity,0.20458887664247483
1,14,city_identity,0.18545046864693665
1,15,city_identity,0.1794466703256632
1,16,city_identity,0.1493904271373341
1,17,city_identity,0.12674440683029733
1,18,city_identity,0.10842690186505874
1,19,city_identity,0.06282587167669104
1,20,city_identity,0.04290097543102743
1,21,city_identity,0.0016568962500286034
1,22,city_identity,0.0
1,23,city_identity,0.0
1,0,policy_sensitivity,0.39416552623682033
1,1,policy_sensitivity,0.37410365980419585
1,2,policy_sensitivity,0.3538440582480518
1,3,policy_sensitivity,0.358174980316474
1,4,policy_sensitivity,0.2743922998529189
1,5,policy_sensitivity,0.18348733574203485
1,6,policy_sensitivity,0.19498845382159108
1,7,policy_sensitivity,0.15797310306298218
1,8,policy_sensitivity,0.06379206130032614
1,9,policy_sensitivity,0.00966338017416317
1,10,policy_sensitivity,0.016504931535873457
1,11,policy_sensitivity,0.02608178347822731
1,12,policy_sensitivity,0.013833641748235991
1,13,policy_sensitivity,0.015277803514287614
1,14,policy_sensitivity,0.020484910111087877
1,15,policy_sensitivity,0.0
1,16,policy_sensitivity,0.003154148889802281
1,17,policy_sensitivity,0.0
1,18,policy_sensitivity,0.0019014071277697314
1,19,policy_sensitivity,0.0
1,20,policy_sensitivity,0.010731803229247256
1,21,policy_sensitivity,0.004880225902846175
1,22,policy_sensitivity,0.014400198012720147
1,23,policy_sensitivity,0.016248640330502034
1,0,platform_dependence,0.46723229140661593
1,1,platform_dependence,0.4381126694927845
1,2,platform_dependence,0.5270455422907693
1,3,platform_dependence,0.5521154235035032
1,4,platform_dependence,0.4465010045562121
1,5,platform_dependence,0.33329327320204755
1,6,platform_dependence,0.34106280919744764
1,7,platform_dependence,0.3374682562141293
1,8,platform_dependence,0.22791247499080808
1,9,platform_dependence,0.225207024013793
1,10,platform_dependence,0.24885396377166638
1,11,platform_dependence,0.2641920585707581
1,12,platform_dependence,0.2611954853121425
1,13,platform_dependence,0.28575656187944126
1,14,platform_dependence,0.2962448350040671
1,15,platform_dependence,0.27282068228266837
1,16,platform_dependence,0.2913419427500433
1,17,platform_dependence,0.17684241695471264
1,18,platform_dependence,0.19516059130968186
1,19,platform_dependence,0.19701063199752164
1,20,platform_dependence,0.21198133177397888
1,21,platform_dependence,0.2080016221288193
1,22,platform_dependence,0.2188062069801444
1,23,platform_dependence,0.23667579147790005
1,0,risk_preference,0.20342672648544835
1,1,risk_preference,0.1409122098698803
1,2,risk_preference,0.0
1,3,risk_preference,0.0
1,4,risk_preference,0.0
1,5,risk_preference,0.0
1,6,risk_preference,0.0
1,7,risk_preference,0.0
1,8,risk_preference,0.0
1,9,risk_preference,0.0
1,10,risk_preference,0.0
1,11,risk_preference,0.0
1,12,risk_preference,0.0
1,13,risk_preference,0.0
1,14,risk_preference,0.0
1,15,risk_preference,0.0
1,16,risk_preference,0.0
1,17,risk_preference,0.0
1,18,risk_preference,0.0
1,19,risk_preference,0.0
1,20,risk_preference,0.0
1,21,risk_preference,0.0
1,22,risk_preference,0.0
1,23,risk_preference,0.0
1,0,voice_propensity,0.15618048603516457
1,1,voice_propensity,0.0861848698957216
1,2,voice_propensity,0.0
1,3,voice_propensity,0.0
1,4,voice_propensity,0.0
1,5,voice_propensity,0.0
1,6,voice_propensity,0.0
1,7,voice_propensity,0.0
1,8,voice_propensity,0.0
1,9,voice_propensity,0.0
1,10,voice_propensity,0.0
1,11,voice_propensity,0.0
1,12,voice_propensity,0.0
1,13,voice_propensity,0.0
1,14,voice_propensity,0.0
1,15,voice_propensity,0.0
1,16,voice_propensity,0.0
1,17,voice_propensity,0.0
1,18,voice_propensity,0.0
1,19,voice_propensity,0.0
1,20,voice_propensity,0.0
1,21,voice_propensity,0.0
1,22,voice_propensity,0.0
1,23,voice_propensity,0.0
1,0,mobility_intent,0.5068942044408877
1,1,mobility_intent,0.5004225134392896
1,2,mobility_intent,0.4036763701957953
1,3,mobility_intent,0.42500765499722665
1,4,mobility_intent,0.3587860970619731
1,5,mobility_intent,0.39388175495537897
1,6,mobility_intent,0.42362259078872905
1,7,mobility_intent,0.4309656956797164
1,8,mobility_intent,0.37958876067822866
1,9,mobility_intent,0.3653865906770908
1,10,mobility_intent,0.3809691939216906
1,11,mobility_intent,0.40834914685303686
1,12,mobility_intent,0.3855697052482462
1,13,mobility_intent,0.4168993935198465
1,14,mobility_intent,0.4496057335740114
1,15,mobility_intent,0.43202444167492055
1,16,mobility_intent,0.466511429138381
1,17,mobility_intent,0.38207846615027163
1,18,mobility_intent,0.41342000792024747
1,19,mobility_intent,0.43402625480718293
1,20,mobility_intent,0.4589888914363077
1,21,mobility_intent,0.32024705671163267
1,22,mobility_intent,0.35036039658040014
1,23,mobility_intent,0.38761233670814377
