day,agent_id,income,expense,net,balance,wealth_drive,hourly_income,econ_security
28,53,91.4761,293.1521,-201.676,23021.6225,0.625,28.4294,0.9198
29,53,111.6382,322.3423,-210.7042,22810.9183,0.625,32.0302,0.9748
30,53,145.3415,327.1071,-181.7657,22629.1527,0.625,27.0005,0.9639
31,53,244.4611,459.4159,-214.9548,22414.1979,0.625,28.6135,0.9758
32,53,309.4969,435.036,-125.5391,22288.6588,0.625,32.8042,0.9912
33,53,83.2853,373.9952,-290.7099,21997.9489,0.625,27.7286,0.9674
34,53,97.621,361.6121,-263.991,21733.9579,0.625,28.5605,0.9486
35,53,66.2952,446.233,-379.9379,21354.02,0.625,26.8804,0.9253
36,53,89.4341,434.2612,-344.827,21009.193,0.625,24.8298,0.9104
37,53,109.6265,258.1779,-148.5514,20860.6416,0.625,34.8191,0.9417
38,53,180.5754,376.7883,-196.2129,20664.4287,0.625,34.2612,0.953
39,53,202.051,404.1399,-202.0889,20462.3397,0.625,25.1304,0.9307
40,53,89.5677,312.0788,-222.5111,20239.8286,0.625,28.7282,0.9294
41,53,100.2893,354.2161,-253.9268,19985.9018,0.625,33.218,0.9239
42,53,98.8985,372.5257,-273.6272,19712.2747,0.625,27.7806,0.9407
43,53,98.7168,361.0356,-262.3187,19449.9559,0.625,30.1134,0.919
44,53,201.279,309.2497,-107.9707,19341.9852,0.625,35.1507,0.9142
45,53,338.3184,457.7984,-119.48,19222.5052,0.625,34.9791,0.9328
46,53,350.2481,517.1621,-166.9139,19055.5913,0.625,33.7386,0.9473
47,53,77.3144,363.2882,-285.9738,18769.6175,0.625,26.4024,0.9268
48,53,83.9609,465.2958,-381.3349,18388.2826,0.625,25.3767,0.9304
49,53,100.4632,406.9604,-306.4972,18081.7854,0.625,32.038,0.9202
50,53,87.8574,410.9516,-323.0942,17758.6912,0.625,30.0505,0.9163
51,53,87.0315,327.63,-240.5986,17518.0926,0.625,26.496,0.9317
52,53,216.8572,447.3593,-230.5021,17287.5905,0.625,33.2479,0.926
53,53,293.0562,484.3453,-191.2891,17096.3014,0.625,33.2634,0.9219
54,53,118.2435,292.639,-174.3955,16921.9059,0.625,33.5559,0.9127
55,53,100.2566,505.2855,-405.0289,16516.877,0.625,29.0052,0.9086
56,53,146.1041,356.4181,-210.314,16306.563,0.625,31.6516,0.9345
57,53,71.7077,370.9202,-299.2125,16007.3505,0.625,31.2575,0.9299
58,53,109.0995,312.6953,-203.5958,15803.7547,0.625,34.3838,0.9181
59,53,276.8329,502.496,-225.663,15578.0917,0.625,28.8943,0.9556
60,53,210.8079,505.5422,-294.7343,15283.3574,0.625,27.1177,0.9224
61,53,87.3579,384.3831,-297.0252,14986.3322,0.625,33.847,0.9136
62,53,202.8614,352.4473,-149.5859,14836.7463,0.625,29.5934,0.9504
63,53,117.7765,301.3588,-183.5823,14653.1641,0.625,31.6307,0.916
64,53,72.6871,279.1136,-206.4266,14446.7375,0.625,25.6487,0.8794
65,53,152.1078,385.6329,-233.5251,14213.2124,0.625,35.1259,0.8891
66,53,400.1116,589.6613,-189.5497,14023.6628,0.625,33.9662,0.9252
67,53,290.9527,451.7926,-160.8398,13862.8229,0.625,32.2934,0.8957
68,53,96.6044,376.451,-279.8466,13582.9763,0.625,24.6313,0.8938
69,53,138.0861,318.1895,-180.1034,13402.8729,0.625,33.9321,0.9072
70,53,96.7766,356.6378,-259.8613,13143.0116,0.625,29.8682,0.8941
71,53,120.0631,406.2472,-286.1841,12856.8275,0.625,27.351,0.8861
72,53,123.7028,340.4278,-216.725,12640.1025,0.625,29.0979,0.9083
73,53,133.7234,344.0915,-210.3681,12429.7344,0.625,31.8591,0.9007
74,53,200.575,460.8792,-260.3042,12169.4302,0.625,32.393,0.9319
75,53,67.7291,344.8073,-277.0782,11892.352,0.625,25.5277,0.9197
76,53,123.244,349.2528,-226.0088,11666.3432,0.625,34.26,0.9269
77,53,38.2413,348.0129,-309.7715,11356.5717,0.625,31.1044,0.9374
78,53,99.9494,383.9821,-284.0328,11072.5389,0.625,32.3283,0.946
79,53,66.9919,333.4283,-266.4364,10806.1025,0.625,28.8037,0.9248
80,53,233.9278,421.9385,-188.0107,10618.0917,0.625,33.1279,0.949
81,53,235.7981,574.3833,-338.5852,10279.5065,0.625,26.7456,0.9361
82,53,129.0495,324.5227,-195.4732,10084.0333,0.625,32.1165,0.929
83,53,105.5481,471.6406,-366.0924,9717.9409,0.625,33.3666,0.8965
84,53,95.3644,461.0028,-365.6384,9352.3025,0.625,29.7994,0.9187
85,53,167.3925,370.1931,-202.8006,9149.5019,0.625,24.6231,0.9038
86,53,85.844,408.9147,-323.0707,8826.4312,0.625,27.4167,0.8858
87,53,331.4106,458.4778,-127.0672,8699.364,0.625,29.5251,0.8975
88,53,305.3027,610.7882,-305.4855,8393.8785,0.625,27.2313,0.8417
89,53,70.0079,229.1713,-159.1633,8234.7152,0.625,30.7512,0.8562
90,53,89.0692,303.8652,-214.796,8019.9192,0.625,26.8846,0.8738
91,53,84.8197,348.4612,-263.6415,7756.2777,0.625,26.8147,0.8436
92,53,170.8739,376.6181,-205.7442,7550.5336,0.625,25.4857,0.8084
93,53,68.1121,325.8042,-257.6922,7292.8414,0.625,26.6989,0.773
94,53,214.1508,539.2524,-325.1016,6967.7398,0.625,24.5,0.7803
95,53,288.9664,437.9309,-148.9645,6818.7753,0.625,27.8299,0.7844
96,53,150.8028,425.4263,-274.6235,6544.1518,0.625,32.8233,0.7271
97,53,172.8827,488.3939,-315.5112,6228.6406,0.625,26.489,0.7041
98,53,152.8165,525.781,-372.9645,5855.6761,0.625,30.2353,0.6694
99,53,149.3531,319.396,-170.0429,5685.6333,0.625,29.6127,0.6407
100,53,92.9758,388.1206,-295.1448,5390.4885,0.625,27.4191,0.6397
101,53,375.8819,465.19,-89.3081,5301.1804,0.625,33.2697,0.636
102,53,275.7174,484.8453,-209.1279,5092.0524,0.625,30.4381,0.5983
103,53,155.6422,354.4408,-198.7986,4893.2539,0.625,24.9995,0.634
104,53,217.2123,464.1294,-246.917,4646.3368,0.625,30.1678,0.5966
105,53,130.2283,339.7958,-209.5675,4436.7694,0.625,24.9204,0.614
106,53,178.8973,384.2939,-205.3966,4231.3728,0.625,28.8005,0.5854
107,53,113.6932,325.7163,-212.0231,4019.3497,0.625,34.6401,0.5778
